Week,What is the EU?,How much does the UK pay to the EU?,What happens if the UK leaves the EU?,How many countries are in the EU?,How do I vote in the EU elections?,How much does each country pay to the EU?,Why should the UK stay in the EU?,When was the EU formed?,Will the UK leave the EU?,Why should the UK leave the EU?
03/22/2015,88.466966,7.530328,4.123262,15.077475,0,1.385151,2.206236,10.53181,6.475589,2.883368
03/29/2015,80.899646,11.577245,4.144784,13.033643,0,1.385151,2.063299,1.428632,4.39062,1.508591
04/05/2015,72.418425,6.014905,4.166306,7.521801,0,1.385151,2.052863,1.428632,4.39062,4.273796
04/12/2015,60.119838,5.724492,4.136938,5.725777,0,1.39016,4.000402,1.428632,6.326937,5.759524
04/19/2015,123.909534,13.028886,2.000624,11.586795,0,2.816491,3.954676,2.890631,8.263253,6.878384
04/26/2015,113.411249,12.465836,13.871484,6.927858,0,1.420894,2.038025,2.766156,3.980815,5.532244
05/03/2015,88.753663,28.983143,8.135173,13.807625,0,1.420894,4.080758,2.754823,25.64944,8.404463
05/10/2015,116.192096,11.273805,2.025055,21.156211,0,1.420894,2.08832,4.221968,18.350867,5.652184
05/17/2015,103.465324,11.354131,16.746953,12.774868,0,1.420894,5.225837,2.833334,20.293238,10.141505
05/24/2015,76.513311,13.20122,4.041005,8.808624,0,1.420894,8.363355,2.929083,14.480851,1.396661
05/31/2015,90.62299,8.373017,6.249479,25.139751,1.854779,1.4277,6.140932,2.787707,4.028674,2.901292
06/07/2015,105.908806,5.825391,0,11.663956,1.883113,1.434506,6.206218,5.818468,2.077412,5.675396
06/14/2015,85.580858,7.11214,0,11.387848,,1.400988,6.212551,1.4206,4.076788,7.20543
06/21/2015,105.672098,12.981505,0,20.212336,,1.402707,2.04917,1.440369,6.217882,1.441052
06/28/2015,89.147831,4.301448,0,17.231752,,1.404427,2.050969,4.295919,6.219725,7.054032
07/05/2015,85.022685,6.985734,0,9.784394,,1.406146,2.052767,2.790062,6.075297,1.417604
07/12/2015,85.394854,2.853051,0,4.280877,,0,2.054565,4.274157,4.067364,1.433196
07/19/2015,51.485184,8.633172,0,7.198138,,0,2.108462,1.412575,6.180509,1.405947
07/26/2015,63.315392,4.243178,4.19674,4.247097,,0,2.02614,1.412575,6.129565,1.445115
08/02/2015,64.843764,5.796004,4.692593,1.449521,,0,2.02614,1.399253,8.370035,1.416094
08/09/2015,56.549983,5.715853,5.188446,5.718108,,0,2.02614,1.399253,2.02039,1.425721
08/16/2015,56.854813,1.42296,5.684299,4.271065,,0,2.02614,1.399253,4.062562,4.179568
08/23/2015,69.8755,4.204605,6.180151,7.009332,,0,2.02614,1.399253,7.151018,1.430498
08/30/2015,116.702604,7.172818,2.00529,15.794889,,0,2.005659,2.865337,10.239475,2.858968
09/06/2015,85.602899,1.430236,2.00529,20.036992,,0,1.958786,1.428398,12.233513,1.392203
09/13/2015,78.000071,6.95031,2.003312,11.127805,,0,1.958786,1.390675,6.002227,4.13525
09/20/2015,89.310419,6.96589,2.003312,26.503421,,1.377758,1.958786,1.390675,3.970522,5.455326
09/27/2015,120.569062,6.778649,2.986321,13.572435,,1.353158,3.929327,8.125904,3.953979,1.351407
10/04/2015,112.544706,8.134018,3.969331,10.852292,,1.789903,5.944174,2.707521,15.529155,1.371112
10/11/2015,118.038006,11.073121,1.958543,16.615375,,2.226648,3.839663,3.384909,11.808171,1.358035
10/18/2015,82.677883,9.49096,1.97757,10.852922,,2.663393,3.839663,4.062296,3.938271,1.373017
10/25/2015,76.847836,11.011136,1.921754,6.886294,,2.678326,3.839663,4.123382,5.811041,2.640848
11/01/2015,84.490641,9.268482,1.921754,7.949504,,2.69326,3.742511,3.990153,7.683811,2.650075
11/08/2015,109.445772,13.320714,1.910219,14.667497,,2.708194,3.742511,3.990153,9.60246,6.60781
11/15/2015,109.888857,10.564676,1.944627,15.858536,,2.723128,5.682963,7.915422,3.746568,6.498885
11/22/2015,101.119893,3.878776,1.979035,12.941803,,1.406466,3.84667,6.457241,3.746568,6.526285
